respondent,INT,BE
270,3.333333333333333,3.25
271,3.6666666666666665,3.25
272,4.333333333333333,4.75
273,4.0,5.0
274,4.0,4.0
275,5.0,5.0
276,4.666666666666667,4.75
277,4.666666666666667,4.5
278,4.333333333333333,4.75
279,3.0,4.75
280,4.0,4.25
281,4.333333333333333,5.0
282,4.0,4.0
283,4.0,4.0
284,4.0,4.0
285,4.333333333333333,4.0
286,3.0,3.0
287,4.0,4.5
288,3.6666666666666665,3.5
289,3.0,4.5
290,5.0,5.0
291,4.666666666666667,4.75
292,3.333333333333333,5.0
293,4.666666666666667,4.5
294,4.666666666666667,5.0
295,4.333333333333333,4.25
296,4.0,4.0
297,4.0,4.0
298,4.0,4.0
299,4.0,4.0
300,3.0,5.0
301,5.0,5.0
302,3.0,4.0
303,3.0,3.0
304,3.0,4.0
305,3.0,3.0
306,4.0,3.0
307,3.0,3.0
308,3.0,3.0
309,4.0,3.75
310,4.0,3.0
311,4.0,4.0
312,3.333333333333333,3.25
313,3.333333333333333,3.5
314,3.333333333333333,3.0
315,4.0,4.0
316,3.333333333333333,3.5
317,2.333333333333333,3.25
318,3.6666666666666665,3.25
319,2.6666666666666665,3.0
320,3.0,2.75
321,3.6666666666666665,3.5
322,4.0,3.5
323,3.6666666666666665,4.0
324,2.6666666666666665,3.0
325,3.0,3.0
326,4.0,3.5
327,3.6666666666666665,3.5
328,4.0,3.75
329,3.333333333333333,3.0
330,3.333333333333333,2.75
331,4.0,3.5
332,3.0,3.0
333,2.6666666666666665,2.25
334,2.333333333333333,1.75
335,1.6666666666666667,1.75
336,2.0,1.5
337,2.333333333333333,1.75
338,2.0,2.0
339,2.0,2.0
340,2.333333333333333,2.75
341,1.6666666666666667,1.75
342,2.0,2.0
343,2.6666666666666665,2.25
344,2.333333333333333,1.75
345,2.0,2.0
346,2.6666666666666665,2.5
347,2.333333333333333,1.75
348,2.0,2.25
349,1.6666666666666667,1.5
350,2.333333333333333,1.75
351,2.0,2.0
352,2.333333333333333,1.75
353,1.6666666666666667,2.25
354,5.0,3.25
355,4.0,3.25
356,4.0,3.0
357,3.333333333333333,3.0
358,3.333333333333333,3.25
359,4.0,3.75
360,4.0,3.5
361,4.333333333333333,3.75
362,3.6666666666666665,3.5
363,4.333333333333333,4.75
364,5.0,5.0
365,4.0,4.5
366,3.6666666666666665,3.5
367,3.6666666666666665,3.5
368,4.0,3.75
369,3.333333333333333,3.25
370,4.0,3.0
371,3.6666666666666665,5.0
372,3.6666666666666665,3.25
373,4.0,2.75
374,3.0,3.0
375,3.0,3.25
376,4.666666666666667,4.5
377,4.666666666666667,3.0
378,3.333333333333333,3.5
379,3.6666666666666665,4.0
380,4.666666666666667,3.75
381,4.333333333333333,4.75
382,4.666666666666667,4.25
383,5.0,4.0
384,4.0,3.25
385,3.6666666666666665,3.75
386,4.0,4.0
387,5.0,4.0
388,4.666666666666667,4.0
389,4.666666666666667,4.0
390,4.666666666666667,5.0
391,4.666666666666667,4.75
392,3.333333333333333,3.25
393,3.6666666666666665,4.0
394,3.6666666666666665,3.5
395,2.0,3.25
396,3.0,3.0
397,3.6666666666666665,3.75
398,3.6666666666666665,4.75
399,3.333333333333333,3.0
400,4.333333333333333,4.0
401,4.333333333333333,4.0
402,4.333333333333333,4.0
403,3.0,3.0
404,3.333333333333333,3.25
405,4.0,3.75
406,4.0,3.75
407,4.333333333333333,3.75
408,3.0,3.0
409,5.0,5.0
410,5.0,4.5
411,3.0,3.0
412,4.333333333333333,3.5
413,4.0,4.0
414,4.666666666666667,3.25
415,4.0,4.0
416,4.0,3.25
417,4.666666666666667,3.75
418,4.0,4.25
419,4.666666666666667,4.0
420,4.666666666666667,4.0
421,4.0,3.25
422,4.0,4.0
423,5.0,4.25
424,4.333333333333333,4.0
425,4.0,3.5
426,5.0,3.0
427,3.333333333333333,4.0
428,3.333333333333333,3.75
429,5.0,3.75
430,3.333333333333333,3.5
431,3.6666666666666665,2.5
432,3.0,3.0
433,3.6666666666666665,2.75
434,4.666666666666667,3.5
435,4.666666666666667,4.5
436,4.333333333333333,3.25
437,3.6666666666666665,3.0
438,3.6666666666666665,3.0
439,3.333333333333333,3.0
440,3.6666666666666665,3.25
441,3.333333333333333,2.5
442,3.6666666666666665,2.75
443,3.333333333333333,3.25
444,3.333333333333333,3.75
445,3.6666666666666665,2.75
446,3.6666666666666665,3.0
447,3.6666666666666665,3.0
448,4.0,3.25
449,3.6666666666666665,3.0
450,3.6666666666666665,3.0
451,3.6666666666666665,2.75
452,3.6666666666666665,3.0
453,3.6666666666666665,3.25
454,4.666666666666667,4.75
455,3.333333333333333,4.0
456,3.333333333333333,3.5
457,4.333333333333333,4.0
458,3.333333333333333,3.0
459,2.6666666666666665,2.75
460,4.333333333333333,3.75
461,3.333333333333333,4.0
462,4.0,3.75
463,3.333333333333333,2.75
464,2.6666666666666665,2.5
465,2.333333333333333,2.0
466,3.333333333333333,3.25
467,3.6666666666666665,3.5
468,3.0,3.0
469,4.666666666666667,3.75
470,4.0,3.5
471,3.6666666666666665,2.75
472,3.333333333333333,3.25
473,4.0,4.0
474,4.0,4.0
475,4.333333333333333,3.75
476,3.333333333333333,3.5
477,4.0,4.25
478,4.333333333333333,3.75
479,5.0,4.0
480,5.0,4.5
481,3.333333333333333,3.75
482,5.0,5.0
483,4.0,4.0
484,5.0,5.0
485,4.0,4.0
486,4.666666666666667,5.0
487,3.6666666666666665,3.75
488,3.6666666666666665,3.5
489,4.0,3.5
490,3.333333333333333,3.75
491,5.0,5.0
492,4.333333333333333,3.5
493,2.6666666666666665,2.5
494,5.0,4.25
495,5.0,5.0
496,4.0,4.75
497,3.0,3.0
498,5.0,5.0
499,4.0,4.0
500,3.6666666666666665,4.0
501,1.0,1.0
502,2.333333333333333,3.0
503,5.0,4.25
504,3.0,3.0
505,4.666666666666667,4.75
506,4.0,4.0
507,3.333333333333333,3.0
508,4.666666666666667,4.75
509,4.0,4.75
510,5.0,4.0
511,4.0,4.5
512,2.6666666666666665,3.25
513,4.0,3.75
514,3.333333333333333,2.25
515,4.0,3.5
516,4.666666666666667,4.0
517,5.0,3.25
518,3.6666666666666665,3.75
519,5.0,4.25
520,4.666666666666667,4.25
521,4.0,4.0
522,2.333333333333333,3.0
523,3.6666666666666665,2.75
524,4.333333333333333,3.75
525,2.6666666666666665,3.5
526,4.0,3.5
527,4.0,4.5
528,3.0,2.75
529,3.6666666666666665,3.0
530,4.0,3.0
531,3.333333333333333,4.0
532,4.333333333333333,4.25
533,4.0,3.5
534,3.6666666666666665,3.5
535,3.333333333333333,3.25
536,4.666666666666667,3.75
537,3.333333333333333,4.25
538,3.6666666666666665,3.75
539,4.333333333333333,4.0
540,3.333333333333333,3.5
541,4.333333333333333,3.75
542,3.6666666666666665,3.5
543,4.0,3.75
544,4.0,3.5
545,4.333333333333333,5.0
546,5.0,5.0
547,5.0,5.0
548,5.0,5.0
549,5.0,5.0
550,5.0,5.0
551,5.0,5.0
552,2.0,4.0
553,2.6666666666666665,3.0
554,1.0,1.0
555,2.0,4.0
556,1.0,3.25
557,3.0,2.25
558,3.0,2.0
559,2.0,3.75
560,4.0,3.0
561,3.0,3.5
562,1.6666666666666667,2.0
563,2.0,3.0
564,1.0,1.0
565,4.0,4.25
566,4.0,4.0
567,3.6666666666666665,3.5
568,4.0,3.75
569,4.0,3.75
570,4.0,3.75
571,4.0,4.0
572,4.0,4.0
573,4.0,4.0
574,4.0,4.0
575,4.0,4.0
576,4.0,4.0
577,4.0,4.0
578,3.0,3.0
579,4.0,4.0
580,4.0,4.0
581,4.0,4.0
582,4.0,4.0
583,4.0,4.0
584,4.0,4.0
585,4.0,4.0
586,3.333333333333333,3.75
587,4.0,3.25
588,4.0,3.75
589,4.0,3.75
590,4.0,3.5
591,3.6666666666666665,3.75
592,4.0,4.0
593,3.333333333333333,3.75
594,4.0,4.5
595,3.333333333333333,3.75
596,4.0,4.75
597,4.333333333333333,4.25
598,3.6666666666666665,4.75
599,4.0,5.0
600,5.0,5.0
601,4.333333333333333,5.0
602,4.0,5.0
603,4.0,4.5
604,4.0,4.75
605,3.333333333333333,3.75
606,3.0,3.0
607,3.0,3.0
608,4.333333333333333,3.75
609,3.6666666666666665,3.75
610,4.333333333333333,4.25
611,3.6666666666666665,3.75
612,4.333333333333333,4.0
613,4.333333333333333,3.75
614,3.6666666666666665,3.75
615,4.333333333333333,4.0
616,4.333333333333333,3.75
617,4.666666666666667,4.25
618,4.0,3.75
619,4.333333333333333,3.75
620,4.0,3.5
621,4.333333333333333,4.75
622,5.0,4.75
623,4.333333333333333,3.5
624,4.333333333333333,4.0
625,3.6666666666666665,3.25
626,3.6666666666666665,3.25
627,3.6666666666666665,4.0
628,4.333333333333333,5.0
629,3.6666666666666665,3.75
630,4.333333333333333,4.5
631,4.666666666666667,3.25
632,4.0,4.75
633,2.6666666666666665,2.5
634,3.6666666666666665,4.5
635,4.0,3.5
636,3.6666666666666665,4.0
637,4.333333333333333,4.0
638,5.0,3.75
639,3.6666666666666665,2.75
640,4.333333333333333,3.5
641,4.0,3.25
642,4.666666666666667,4.5
643,4.333333333333333,4.25
644,3.0,3.25
645,4.333333333333333,4.75
646,4.0,3.75
647,3.0,3.5
648,4.333333333333333,3.75
649,4.333333333333333,4.25
650,4.0,4.0
651,4.333333333333333,4.75
652,3.0,3.0
653,3.6666666666666665,3.25
654,4.0,2.5
655,3.6666666666666665,3.5
656,3.6666666666666665,3.5
657,3.6666666666666665,4.5
658,1.0,1.0
659,3.333333333333333,4.75
660,4.0,4.25
661,4.333333333333333,3.0
662,4.666666666666667,4.0
663,4.666666666666667,4.0
664,3.0,3.0
665,5.0,4.5
666,4.666666666666667,4.5
667,4.666666666666667,3.75
668,4.666666666666667,4.25
669,4.0,4.25
670,4.666666666666667,4.25
671,4.666666666666667,4.5
672,4.0,3.75
673,4.666666666666667,2.75
674,4.333333333333333,3.5
675,5.0,5.0
676,4.0,3.25
677,5.0,5.0
678,5.0,5.0
679,4.0,4.0
680,5.0,5.0
681,5.0,5.0
682,5.0,5.0
683,5.0,5.0
684,5.0,5.0
685,5.0,5.0
686,5.0,5.0
687,5.0,4.25
688,4.0,4.5
689,5.0,4.5
690,4.333333333333333,5.0
691,4.0,4.0
692,4.0,4.5
693,5.0,5.0
694,4.333333333333333,3.75
695,3.6666666666666665,3.75
696,4.0,4.0
697,5.0,4.25
698,4.333333333333333,4.0
699,4.333333333333333,4.25
700,5.0,4.0
701,3.333333333333333,3.25
702,4.0,3.75
703,3.6666666666666665,4.5
704,4.333333333333333,5.0
705,4.333333333333333,4.0
706,4.0,4.0
707,4.333333333333333,4.25
708,3.6666666666666665,3.75
709,3.6666666666666665,4.5
710,4.0,3.75
711,4.0,4.25
712,4.0,4.0
713,4.0,4.0
714,4.666666666666667,3.75
715,4.666666666666667,4.0
716,5.0,4.25
717,3.333333333333333,3.5
718,4.0,4.0
719,3.6666666666666665,3.75
720,3.6666666666666665,2.75
721,4.333333333333333,4.0
722,4.0,4.25
723,3.6666666666666665,3.5
724,4.0,4.0
725,4.0,4.0
726,3.0,3.5
727,3.333333333333333,3.5
728,4.333333333333333,4.0
729,5.0,4.25
730,4.333333333333333,2.75
731,5.0,5.0
732,5.0,5.0
733,4.666666666666667,3.5
734,4.333333333333333,3.75
735,4.333333333333333,5.0
736,4.333333333333333,3.0
737,1.0,1.5
738,4.333333333333333,3.25
739,3.6666666666666665,3.0
740,4.0,4.25
741,4.333333333333333,3.5
742,4.666666666666667,3.5
743,5.0,4.5
744,5.0,5.0
745,3.333333333333333,3.25
746,4.666666666666667,4.25
747,5.0,3.5
748,4.666666666666667,5.0
749,2.6666666666666665,3.25
750,5.0,5.0
751,3.0,3.5
752,3.6666666666666665,3.5
753,3.6666666666666665,3.75
754,2.6666666666666665,2.25
755,4.0,3.75
756,4.0,4.75
757,3.333333333333333,2.5
758,4.666666666666667,5.0
759,4.333333333333333,4.0
760,4.0,2.25
761,3.0,3.5
762,5.0,4.0
763,4.333333333333333,3.0
764,4.666666666666667,4.5
765,5.0,5.0
766,3.6666666666666665,3.75
767,5.0,4.75
768,3.6666666666666665,3.5
769,3.6666666666666665,3.5
770,4.333333333333333,4.25
771,4.0,4.5
772,3.333333333333333,3.25
773,3.6666666666666665,4.75
774,3.6666666666666665,4.25
775,3.6666666666666665,4.0
776,3.6666666666666665,4.0
777,3.333333333333333,3.75
778,3.0,3.75
779,3.6666666666666665,4.0
780,3.333333333333333,4.5
781,3.333333333333333,3.25
782,3.333333333333333,3.75
783,3.6666666666666665,3.5
784,3.0,4.0
785,3.333333333333333,3.75
786,3.333333333333333,3.5
787,3.333333333333333,4.0
788,3.6666666666666665,4.0
789,3.333333333333333,3.0
790,3.6666666666666665,4.5
791,4.333333333333333,4.75
792,3.0,3.75
793,4.0,3.75
794,3.333333333333333,3.5
795,3.6666666666666665,4.25
796,3.333333333333333,4.5
797,3.6666666666666665,5.0
798,3.333333333333333,4.25
799,3.6666666666666665,4.0
800,3.6666666666666665,3.75
801,3.333333333333333,4.25
802,2.333333333333333,2.5
803,3.333333333333333,4.5
804,4.333333333333333,3.0
805,4.0,4.0
806,4.0,3.75
807,4.333333333333333,3.5
808,4.333333333333333,4.0
809,5.0,4.5
810,4.333333333333333,4.25
811,3.6666666666666665,3.0
812,5.0,4.0
813,5.0,4.0
814,4.666666666666667,5.0
815,4.666666666666667,5.0
816,5.0,4.75
817,4.666666666666667,5.0
818,3.6666666666666665,4.0
819,5.0,4.75
820,4.0,3.5
821,2.333333333333333,4.0
822,4.0,2.25
823,4.333333333333333,4.5
824,4.333333333333333,2.75
825,4.333333333333333,3.25
826,4.0,3.0
827,3.6666666666666665,3.0
828,5.0,5.0
829,5.0,5.0
830,4.0,3.0
831,4.333333333333333,2.75
832,4.333333333333333,2.5
833,5.0,3.0
834,3.0,2.5
835,3.6666666666666665,3.5
836,4.333333333333333,4.75
837,3.333333333333333,3.5
838,3.6666666666666665,3.0
839,4.0,3.25
840,3.0,3.0
841,4.0,4.0
842,4.666666666666667,4.5
843,5.0,3.5
844,4.0,2.75
845,3.0,3.0
846,3.0,3.0
847,4.666666666666667,4.25
848,3.6666666666666665,3.25
849,4.0,4.0
850,4.333333333333333,5.0
851,3.333333333333333,3.0
852,3.6666666666666665,3.5
853,3.333333333333333,3.25
854,2.6666666666666665,2.75
855,2.6666666666666665,2.5
856,2.333333333333333,2.5
857,3.333333333333333,3.25
858,3.0,2.75
859,3.333333333333333,3.25
860,3.6666666666666665,3.25
861,4.0,4.0
862,3.0,2.5
863,4.0,3.75
864,4.333333333333333,3.75
865,5.0,4.25
866,4.333333333333333,4.5
867,3.6666666666666665,3.25
868,4.0,3.75
869,4.0,3.5
870,4.333333333333333,4.0
871,5.0,3.0
872,3.6666666666666665,3.75
873,4.666666666666667,4.5
874,3.333333333333333,4.25
875,5.0,4.75
876,4.333333333333333,3.75
877,5.0,4.5
878,5.0,4.5
879,4.666666666666667,4.0
880,4.666666666666667,4.5
881,3.6666666666666665,3.5
882,4.0,3.75
883,3.6666666666666665,3.5
884,4.0,3.75
885,4.0,3.75
886,3.6666666666666665,3.0
887,4.0,3.5
888,3.6666666666666665,4.0
889,3.6666666666666665,3.5
890,4.333333333333333,4.25
891,4.333333333333333,4.25
892,4.666666666666667,3.75
893,4.333333333333333,4.0
894,5.0,3.25
895,4.0,4.0
896,5.0,4.0
897,5.0,3.75
898,4.333333333333333,4.75
899,1.0,1.5
900,2.333333333333333,2.5
901,4.0,3.75
902,4.0,4.0
903,4.666666666666667,3.0
904,4.0,4.0
905,3.0,3.0
906,2.6666666666666665,2.0
907,3.333333333333333,3.0
908,3.0,3.0
909,3.0,3.0
910,4.0,4.0
911,4.333333333333333,3.5
912,5.0,4.5
913,3.0,3.25
914,4.0,4.0
915,2.0,2.25
916,3.333333333333333,3.5
917,3.333333333333333,4.0
918,3.0,2.25
919,4.0,4.0
920,3.333333333333333,3.5
921,4.0,3.5
922,4.0,3.5
923,4.666666666666667,3.75
924,3.333333333333333,3.5
925,3.6666666666666665,4.75
926,4.0,4.0
927,4.0,4.0
928,3.333333333333333,5.0
929,4.666666666666667,4.25
930,4.0,3.25
931,4.666666666666667,4.5
932,3.333333333333333,4.25
933,4.0,4.25
934,4.0,4.5
935,3.333333333333333,2.5
936,3.333333333333333,3.5
937,3.0,3.0
938,3.6666666666666665,3.75
939,3.333333333333333,2.5
940,3.0,3.5
941,4.0,3.0
942,4.0,3.25
943,3.0,3.0
944,4.333333333333333,3.75
945,2.6666666666666665,4.0
946,3.0,3.75
947,4.0,3.5
948,3.0,4.25
949,3.333333333333333,3.75
950,3.6666666666666665,3.5
951,2.6666666666666665,3.25
952,4.666666666666667,3.25
953,3.0,4.5
954,3.0,4.0
955,4.333333333333333,5.0
956,3.333333333333333,4.5
957,4.666666666666667,3.0
958,3.0,3.5
959,3.333333333333333,4.0
960,3.6666666666666665,4.75
961,2.333333333333333,4.0
962,4.333333333333333,4.25
963,4.666666666666667,3.75
964,4.0,3.75
965,4.333333333333333,4.75
966,4.333333333333333,4.75
967,4.666666666666667,4.0
968,3.333333333333333,3.5
969,3.6666666666666665,4.5
970,4.333333333333333,4.25
971,3.6666666666666665,4.0
972,4.0,3.75
973,4.0,4.25
974,3.6666666666666665,4.25
975,4.0,4.0
976,3.333333333333333,4.25
977,4.666666666666667,4.0
978,4.666666666666667,3.75
979,4.666666666666667,3.75
980,4.666666666666667,3.25
981,3.6666666666666665,3.5
982,3.6666666666666665,4.25
983,4.666666666666667,3.75
984,4.333333333333333,4.75
985,2.6666666666666665,2.5
986,3.6666666666666665,3.5
987,4.333333333333333,4.5
988,4.666666666666667,4.75
989,4.333333333333333,4.25
990,2.0,2.5
991,3.0,2.0
992,3.0,3.0
993,2.0,2.25
994,4.0,4.25
995,4.666666666666667,4.25
996,2.333333333333333,2.75
997,4.333333333333333,3.5
998,4.333333333333333,3.75
999,4.0,5.0
1000,4.0,4.0
1001,3.6666666666666665,4.25
1002,4.666666666666667,4.25
1003,4.333333333333333,3.75
1004,4.333333333333333,4.0
1005,3.6666666666666665,3.5
1006,3.333333333333333,3.75
1007,3.6666666666666665,3.75
1008,4.666666666666667,4.5
1009,4.333333333333333,4.5
1010,4.0,4.25
1011,4.333333333333333,3.5
1012,4.333333333333333,3.25
1013,4.0,3.5
1014,4.0,4.0
1015,2.0,2.5
1016,4.0,3.75
1017,4.333333333333333,4.0
1018,4.333333333333333,4.25
1019,2.6666666666666665,2.75
1020,3.333333333333333,2.75
1021,2.6666666666666665,2.5
1022,4.333333333333333,4.5
1023,4.333333333333333,3.75
1024,3.333333333333333,4.0
1025,5.0,5.0
1026,4.0,5.0
1027,3.6666666666666665,5.0
1028,4.333333333333333,4.5
1029,4.666666666666667,5.0
1030,4.0,5.0
1031,4.0,3.25
1032,4.333333333333333,4.25
1033,3.0,3.25
1034,3.0,3.75
1035,4.333333333333333,5.0
1036,5.0,5.0
1037,4.0,4.0
1038,3.0,3.0
1039,2.6666666666666665,2.0
1040,3.333333333333333,3.0
1041,3.0,3.0
1042,3.0,3.0
1043,4.0,4.0
1044,4.333333333333333,3.5
1045,5.0,4.5
1046,3.0,3.25
1047,4.0,4.0
1048,2.0,2.25
1049,3.333333333333333,3.5
1050,3.333333333333333,4.0
1051,3.0,2.25
1052,4.0,4.0
1053,3.333333333333333,3.5
1054,4.0,3.5
1055,4.0,3.5
1056,4.666666666666667,3.75
1057,3.333333333333333,3.5
1058,3.6666666666666665,4.75
1059,4.0,4.0
1060,4.0,4.0
1061,3.333333333333333,5.0
1062,4.666666666666667,4.25
1063,4.0,3.25
1064,4.666666666666667,4.5
1065,3.333333333333333,4.25
1066,4.0,4.25
1067,4.0,4.5
1068,3.333333333333333,2.5
1069,3.333333333333333,3.5
1070,3.0,3.0
1071,3.6666666666666665,3.75
1072,3.333333333333333,2.5
1073,3.0,3.5
1074,4.0,3.0
1075,4.0,3.25
1076,3.0,3.0
1077,4.333333333333333,3.75
1078,2.6666666666666665,4.0
1079,3.0,3.75
1080,4.0,3.5
1081,3.0,4.25
1082,3.333333333333333,3.75
1083,3.6666666666666665,3.5
1084,2.6666666666666665,3.25
1085,4.666666666666667,3.25
1086,3.0,4.5
1087,3.0,4.0
1088,4.333333333333333,5.0
1089,3.333333333333333,4.5
1090,4.666666666666667,3.0
1091,3.0,3.5
1092,3.333333333333333,4.0
1093,3.6666666666666665,4.75
1094,2.333333333333333,4.0
1095,4.333333333333333,4.25
1096,4.666666666666667,3.75
1097,4.0,3.75
1098,4.333333333333333,4.75
1099,4.333333333333333,4.75
1100,4.666666666666667,4.0
1101,3.333333333333333,3.5
1102,3.6666666666666665,4.5
1103,4.333333333333333,4.25
1104,3.6666666666666665,4.0
1105,4.0,3.75
1106,4.0,4.25
1107,3.6666666666666665,4.25
1108,4.0,4.0
1109,3.333333333333333,4.25
1110,4.666666666666667,4.0
1111,4.666666666666667,3.75
1112,4.666666666666667,3.75
1113,4.666666666666667,3.25
1114,3.6666666666666665,3.5
